Security ID,Name,New,For,Old,Qty Offered,Qty Subscribed,Date Ex,Allotment Date,Date Of Renunciation,Cum Price,Ex Price,Issue Price
BLUE.X.0000,BLUE DIAMONDS   ,1,:,2,"65,589,385","30,057,291",DEC-27-2005,JAN-06-2006,JAN-27-2006,1.75,1.50,2.50
BLUE-N-0000,BLUE DIAMON,1,:,1,59033947,44266944,22-Nov-10,18-Nov-10,8-Dec-10,4,3.7,
BLUE-X-0000,BLUE DIAMON,1,:,1,102202114,51167686,22-Nov-10,18-Nov-10,8-Dec-10,1.8,1.8,
BOPL-N-0000,BOGAWANTALA,1,:,9,8375000,8375000,22-Nov-10,15-Nov-10,9-Dec-10,47.5,33.3,
BREW.N.0000,CEYLON BREWERY  ,4,:,1,"16,790,472","16,790,472",JUL-15-1996,AUG-01-1996,AUG-22-1996,81.00,35.00,30.00
CABO.N.0000,CARGO BOAT      ,1,:,2,"3,400,012","3,400,012",DEC-22-2005,JAN-04-2006,JAN-26-2006,28.00,22.75,15.00
CARG.N.0000,CARGILLS        ,1,:,6,"400,000","400,000",APR-01-1992,APR-07-1992,APR-30-1992,250.00,215.00,200.00
CARM.N.0000,CARSON MARK(D/L),1,:,1,"4,000,000","4,000,000",FEB-21-1994,MAR-25-1994,APR-15-1994,19.00,18.50,10.00
CCS .N.0000,COLD STORES     ,1,:,7,"1,350,000","1,350,000",SEP-03-1997,SEP-22-1997,OCT-13-1997,148.00,115.00,80.00
CCS -N-0000,COLD STORES,1,:,10,"2,160,000","2,160,000",1-Jul-11,30-Jun-11,21-Jul-11,600.00,495.70,300.00
CDB -N-0000,CDB,1,:,6,"6,614,175","6,614,175",26-Jul-11,25-Jul-11,12-Aug-11,74.40,72.80,70.00
CDB -X-0000,CDB,1,:,7,"5,669,293","5,669,293",26-Jul-11,25-Jul-11,12-Aug-11,,,45.00
CDIC.N.0000,CDIC            ,79,:,100,"19,355,000","19,355,000",FEB-17-2004,MAR-01-2004,MAR-22-2004,43.00,40.00,56.00
CFI .N.0000,CFI             ,2,:,5,"600,000","600,000",JUN-17-1992,JUN-29-1992,JUL-20-1992,27.00,24.75,20.00
CFI .N.0000,CFI             ,3,:,1,"900,000","900,000",FEB-18-1994,MAR-18-1994,APR-07-1994,48.00,50.00,20.00
CFI .N.0000,CFI             ,1,:,2,"1,500,000","50,000",MAR-16-1998,MAR-26-1998,APR-16-1998,7.75,7.00,10.00
CFI .N.0000,CFI             ,1,:,3,"1,016,666","950,000",NOV-18-2003,DEC-01-2003,DEC-22-2003,14.50,11.25,10.00
CFI .N.0000,CFI             ,1,:,4,"1,000,000","1,000,000",OCT-05-2004,OCT-15-2004,NOV-05-2004,32.50,29.50,15.00
CFLB.N.0000,FORT LAND       ,5,:,7,"5,000,000","5,000,000",JAN-29-1992,FEB-19-1992,MAR-11-1992,30.00,30.00,18.00
CFLB.N.0000,FORT LAND       ,1,:,2,"6,000,000","6,000,000",NOV-05-1993,NOV-26-1993,DEC-17-1993,33.00,26.50,12.00
CFLB.N.0000,FORT LAND       ,1,:,1,"18,000,000","18,000,000",MAR-17-1997,MAR-27-1997,APR-17-1997,7.00,7.00,7.00
CFVF.N.0000,FIRST CAPITAL   ,1,:,2,"5,000,000","5,000,000",FEB-07-1995,FEB-24-1995,MAR-17-1995,19.00,18.00,18.00
CFVF.N.0000,FIRST CAPITAL   ,5,:,4,"18,750,000","18,750,000",AUG-20-2007,AUG-17-2007,SEP-17-2007,14.00,12.75,10.00
CHL -N-0000,DURDANS,1,:,11,"1,772,727","1,772,727",12-Nov-09,11-Nov-09,2-Dec-09,99,90.2, 57.00 
CHL -X-0000,DURDANS,1,:,11,"579,545","579,545",12-Nov-09,11-Nov-09,2-Dec-09,52,47, 30.00 
CHMX.N.0000,CHEMANEX        ,1,:,3,"250,000","250,000",OCT-21-1991,NOV-11-1991,DEC-02-1991,110.00,100.00,30.00
CHMX.N.0000,CHEMANEX        ,1,:,2,"500,000","500,000",JUN-29-1992,JUL-06-1992,JUL-27-1992,65.00,61.00,30.00
CHMX.N.0000,CHEMANEX        ,1,:,3,"625,000","625,000",SEP-02-1993,SEP-23-1993,OCT-14-1993,58.00,45.75,22.00
CHMX.N.0000,CHEMANEX        ,1,:,5,"500,000","500,000",JAN-26-1995,FEB-15-1995,MAR-08-1995,95.00,95.00,70.00
CHMX.N.0000,CHEMANEX        ,1,:,5,"875,000","875,000",SEP-02-2004,SEP-14-2004,OCT-06-2004,162.50,126.50,50.00
CHOT.N.0000,HOTELS CORP.    ,50,:,1,"150,000,000","150,000,000",JAN-02-2008,DEC-31-2007,JAN-24-2008,972.75,88.50,2.00
CHOU.N.0000,CEYLINCO HOUSING,1,:,1,"1,486,650","1,486,650",OCT-19-1993,NOV-08-1993,NOV-29-1993,16.00,16.00,15.00
CHOU.N.0000,CEYLINCO HOUSING,1,:,1,"2,973,300","2,973,300",APR-26-2001,MAY-11-2001,MAY-31-2001,14.50,14.50,12.00
CHOU-N-0000,CITY HOUSIN,1,:,1,"13,379,850",0,7-Dec-09,4-Dec-09,24-Dec-09,18.5,17.2, 16.00 
CHR .N.0000,CEYLON HOLIDAY  ,11,:,1,"7,239,639","7,239,639",NOV-11-1992,DEC-02-1992,DEC-23-1992,390.00,63.00,35.00
CIC .N.0000,CIC             ,1,:,1,"8,100,000","8,100,000",MAR-17-2006,MAR-29-2006,APR-24-2006,298.75,181.25,62.00
CIC .X.0000,CIC             ,1,:,1,"2,430,000","2,430,000",MAR-17-2006,MAR-29-2006,APR-24-2006,179.75,110.50,35.00
CIND.N.0000,CENTRAL IND.    ,1,:,2,"1,097,054","1,097,054",FEB-23-1995,MAR-13-1995,APR-03-1995,116.00,105.00,90.00
CINS.N.0000,CEYLINCO INS.   ,2,:,5,"2,200,000","2,200,000",JUN-02-1993,JUN-29-1993,JUL-20-1993,26.25,25.00,25.00
CINS.N.0000,CEYLINCO INS.   ,1,:,2,"4,200,000","4,200,000",SEP-04-2000,SEP-14-2000,OCT-05-2000,31.00,22.50,15.00
CINV.N.0000,CEYLON INV.     ,1,:,4,"620,892","620,892",FEB-26-2002,MAR-11-2002,APR-01-2002,60.00,55.00,50.00
CINV.N.0000,CEYLON INV.     ,1,:,3,"1,293,525","1,293,525",JUN-19-2003,JUL-01-2003,JUL-21-2003,117.75,104.25,50.00
CINV.N.0000,CEYLON INV.     ,1,:,2,"3,018,255","3,018,225",JUL-07-2004,JUL-19-2004,AUG-09-2004,218.50,145.00,50.00
CINV.N.0000,CEYLON INV.     ,1,:,3,"4,527,338","4,527,338",MAR-23-2005,APR-05-2005,APR-29-2005,137.25,103.00,50.00
CIT .N.0000,CIT             ,2,:,5,"600,000","600,000",JUN-17-1992,JUN-29-1992,JUL-20-1992,27.25,22.50,20.00
CIT .N.0000,CIT             ,3,:,7,"900,000","900,000",FEB-18-1994,MAR-18-1994,APR-07-1994,50.00,45.00,20.00
CIT .N.0000,CIT             ,1,:,2,"1,500,000","100,000",MAR-16-1998,MAR-26-1998,APR-16-1998,7.00,7.00,10.00
CIT .N.0000,CIT             ,1,:,3,"1,033,333","1,033,333",JUL-28-2004,AUG-09-2004,AUG-30-2004,16.00,18.75,10.00
CIT .N.0000,CIT             ,1,:,3,"1,377,777","1,366,667",NOV-04-2008,NOV-03-2008,NOV-27-2008,21.00,21.25,20.00
CLPL-N-0000,CEYLON LEAT,1,:,1,12500000,12500000,26-Aug-10,25-Aug-10,15-Sep-10,233.6,138,
COCO.N.0000,COCO LANKA      ,1,:,5,"700,000","700,000",FEB-24-1995,MAR-15-1995,APR-05-1995,15.00,15.25,14.00
COCO.N.0000,COCO LANKA      ,1,:,1,"6,300,000","6,300,000",NOV-09-2007,NOV-07-2007,DEC-04-2007,19.25,18.75,18.00
COCO-N-0000,COCO LANKA,5,:,7,9000000,9000000,26-Jan-10,25-Jan-10,16-Feb-10,44.2,39.7,
COLO.N.0000,COLONIAL MTR    ,1,:,1,"8,100,000","10,505",APR-29-1996,MAY-20-1996,JUN-24-1996,13.25,14.00,15.00
COLO-N-0000,COLONIAL MT,1,:,8,1013813,1013813,30-Jun-10,29-Jun-10,19-Jul-10,99,92,
COMB.N.0000,COMMERCIAL BANK ,1,:,4,"2,500,000","2,500,000",MAR-26-1993,APR-23-1993,MAY-14-1993,212.00,191.00,110.00
COMB.N.0000,COMMERCIAL BANK ,1,:,4,"5,000,000","5,000,000",SEP-09-1996,SEP-19-1996,OCT-10-1996,109.00,105.00,80.00
COMB.N.0000,COMMERCIAL BANK ,1,:,4,"13,000,000","13,000,000",SEP-16-2003,SEP-26-2003,OCT-17-2003,195.75,185.50,140.00
COMB.N.0000,COMMERCIAL BANK ,3,:,10,"40,288,996","40,288,996",APR-05-2007,APR-04-2007,MAY-09-2007,213.75,190.00,138.00
COMB.X.0000,COMMERCIAL BANK ,1,:,4,"357,710","357,710",SEP-09-1996,SEP-19-1996,OCT-10-1996,100.00,96.00,70.00
COMB.X.0000,COMMERCIAL BANK ,1,:,4,"930,046","930,046",SEP-16-2003,SEP-26-2003,OCT-17-2003,135.00,128.00,95.00
COMB.X.0000,COMMERCIAL BANK ,3,:,10,"2,790,138","2,790,138",APR-05-2007,APR-04-2007,MAY-09-2007,112.50,94.75,65.00
COMB-N-0000,COMMERCIAL,1,:,14,"25,502,433","25,502,433",27-Jul-11,26-Jul-11,15-Aug-11,251.00,248.60,181.65
COMB-X-0000,COMMERCIAL,1,:,14,"1,745,494","1,745,494",27-Jul-11,26-Jul-11,15-Aug-11,160.00,157.30,130.13
COML.N.0000,COMM. LEASING   ,1,:,2,"4,033,335","4,033,335",JAN-20-2004,JAN-30-2004,FEB-20-2004,95.00,65.00,25.00
COML.N.0000,COMM. LEASING   ,1,:,6,"2,016,667","2,016,667",JAN-18-2006,JAN-30-2006,FEB-20-2006,157.00,135.00,60.00
COMP.N.0000,COMPAK MORISON  ,1,:,1,"4,200,000","1,393,100",AUG-09-1995,AUG-21-1995,SEP-11-1995,4.75,4.50,10.00
CONN.N.0000,AMAYA LEISURE   ,1,:,2,"9,648,751","9,648,751",JUN-30-2003,JUL-10-2003,JUL-31-2003,9.25,9.50,10.00
COXY.N.0000,CEYLON OXYGEN   ,1,:,2,"3,000,000","3,000,000",OCT-14-1996,OCT-24-1996,NOV-14-1996,55.25,58.25,60.00
CRL -N-0000,SOFTLOGIC F,1,:,3,6688205,6688205,8-Nov-10,4-Nov-10,29-Nov-10,39,38.1,
CRL -N-0000,SOFTLOGIC F,2,:,5,"10,701,129","10,701,129",1-Aug-11,29-Jul-11,18-Aug-11,51.50,49.10,50.00
CSD -N-0000,SEYLAN DEVT,1,:,1,"73,982,430","73,982,430",13-May-11,12-May-11,3-Jun-11,14.90,13.80,11.00
CSEC.N.0000,KSHATRIYA HOLD. ,2,:,5,"800,000","459,941",MAR-02-1993,MAR-17-1993,MAR-31-1993,29.00,29.00,30.00
CSEC.N.0000,KSHATRIYA HOLD. ,4,:,1,"19,679,528","19,679,528",JAN-29-2007,FEB-12-2007,MAR-06-2007,72.75,35.25,10.00
CSEC.N.0000,KSHATRIYA HOLD. ,3,:,1,"73,798,230","73,798,230",JUN-22-2007,JUN-21-2007,JUL-18-2007,25.00,15.25,10.00
CSEC-N-0000,DUNAMIS CAP,1,:,4,"24,599,410","24,599,410",25-Jan-11,24-Jan-11,14-Feb-11,15.90,14.70,10.00
CSF -N-0000,NATION LANK,1,:,1,"19,986,050",,4-Dec-09,3-Dec-09,23-Dec-09,20,16.7, 12.00 
CSF -N-0000,NATION LANK,3,:,2,"59,958,150","59,958,150",10-Mar-11,9-Mar-11,29-Mar-11,21.30,12.20,5.00
CTHR.N.0000,CEY THEATRES    ,1,:,1,"1,124,634","1,124,634",JUN-04-1997,JUN-16-1997,JUL-07-1997,340.00,200.00,67.00
CTHR-N-0000,C T HOLDING,1,:,55,"3,097,253","3,097,253",29-Apr-11,28-Apr-11,23-May-11,210.10,209.40,210.00
CTLD.N.0000,C T LAND        ,1,:,1,"12,500,000","12,500,000",MAR-31-1993,APR-29-1993,MAY-24-1993,11.00,11.00,10.00
CTLD.N.0000,C T LAND        ,3,:,10,"7,500,000","7,500,000",MAY-17-1994,JUN-14-1994,JUL-05-1994,19.00,15.00,10.00
CWM .N.0000,C.W.MACKIE      ,8,:,5,"22,146,804","22,146,804",JAN-20-1999,FEB-01-1999,FEB-22-1999,8.00,8.00,12.00
DFCC.N.0000,DFCC            ,1,:,3,"5,666,667","5,666,667",AUG-30-1993,SEP-24-1993,OCT-15-1993,329.75,300.00,180.00
DFCC.N.0000,DFCC            ,1,:,4,"21,639,134","21,639,134",APR-30-2007,APR-27-2007,MAY-28-2007,200.00,180.50,140.00
DIAL.N.0000,DIALOG          ,1,:,10,"740,343,492","740,343,492",MAY-22-2007,MAY-21-2007,JUN-13-2007,26.00,25.00,21.00
DIMO.N.0000,DIMO            ,1,:,5,"500,000","473,765",JUL-02-1992,JUL-10-1992,JUL-31-1992,140.00,139.50,75.00
DIMO.N.0000,DIMO            ,1,:,2,"3,000,000","3,000,000",JUL-25-2003,AUG-06-2003,AUG-27-2003,97.00,75.00,20.00
DIMO.N.0000,DIMO            ,1,:,10,"1,100,000","1,100,000",NOV-08-2006,NOV-20-2006,DEC-12-2006,133.00,126.50,50.00
DIPD.N.0000,DIPPED PRODUCTS ,1,:,5,"1,584,000","1,584,000",FEB-12-1996,FEB-22-1996,MAR-14-1996,98.00,92.50,60.00
DOCK.N.0000,DOCKYARD        ,134,:,100,"32,731,253","32,731,253",MAR-31-1993,MAR-31-1993,JUN-10-1993,16.50,12.25,10.00
DPL .N.0000,DANKOTUWA PORCEL,2,:,3,"18,094,296","18,094,296",APR-10-2006,APR-25-2006,MAY-17-2006,15.25,14.00,10.00
DPL .N.0000,DANKOTUWA PORCEL,1,:,1,"22,617,870","1,464,044",MAY-15-2008,MAY-14-2008,JUN-27-2008,13.50,12.00,10.00
EAST-N-0000,EAST WEST,3,:,1,"103,680,000","103,680,000",15-Mar-11,14-Mar-11,1-Apr-11,14.20,10.50,10.00
ECL .N.0000,E - CHANNELLING ,2,:,3,"6,978,938","6,978,938",SEP-09-2005,SEP-21-2005,OCT-12-2005,16.75,14.50,10.00
EDEN.N.0000,EDEN HOTEL LANKA,5,:,9,"13,333,333",0,FEB-16-1995,MAR-06-1995,MAR-27-1995,17.00,16.50,18.00
EDEN.N.0000,EDEN HOTEL LANKA,1,:,1,"24,000,000","24,000,000",NOV-16-1995,NOV-27-1995,DEC-18-1995,10.50,10.25,10.00
EDEN.N.0000,EDEN HOTEL LANKA,1,:,10,"4,800,000","4,800,000",MAR-26-2004,APR-08-2004,APR-29-2004,15.00,14.75,10.00
ELPL-N-0000,ELPITIYA,1,:,2,12479339,11474537,1-Feb-10,28-Jan-10,5-Mar-10,53.2,50,
EQIT.N.0000,EQUITY          ,11,:,2,"34,118,387","34,118,387",OCT-26-2005,NOV-09-2005,DEC-01-2005,47.75,34.75,30.00
ETWO.N.0000,EQUITY TWO PLC  ,4,:,1,"24,800,000","24,800,000",OCT-26-2005,NOV-09-2005,DEC-01-2005,20.75,16.50,14.00
GEST.N.0000,GESTETNER       ,5,:,4,"703,125","703,125",JUL-24-2001,AUG-06-2001,AUG-27-2001,45.00,45.00,25.00
GEST.N.0000,GESTETNER       ,4,:,5,"1,012,500","1,012,500",JAN-31-2005,FEB-11-2005,MAR-07-2005,37.25,35.00,20.00
GLAS.N.0000,PIRAMAL GLASS   ,1,:,2,"9,236,948","9,236,948",MAY-02-1995,MAY-19-1995,JUN-09-1995,15.00,14.00,20.00
GLAS.N.0000,PIRAMAL GLASS   ,5,:,7,"395,869,200","395,869,200",NOV-06-2007,NOV-05-2007,NOV-23-2007,2.30,2.20,1.90
GLAX.N.0000,GLAXO           ,1,:,2,"1,215,000","1,215,000",MAR-08-1995,MAR-29-1995,APR-19-1995,45.50,47.00,30.00
GRAN.N.0000,GRAIN ELEVATORS ,1,:,2,"10,000,000","10,000,000",JUN-04-1992,JUN-04-1992,JUN-26-1992,185.00,105.00,45.00
